CustomerID,State,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Avg_Monthly_Charge,Tenure_Group
9420-LOJKX,California,Los Angeles,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,95.09333333333333,1-2yr
7495-OOKFY,California,Los Angeles,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,79.1625,0-1yr
1658-BYGOY,California,Los Angeles,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,97.36388888888888,1-2yr
5698-BQJOH,California,Beverly Hills,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,95.25,0-1yr
5919-TMRGD,California,Huntington Park,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,79.35,0-1yr
9191-MYQKX,California,Lynwood,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,70.98571428571428,0-1yr
8637-XJIVR,California,Marina Del Rey,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,77.27916666666667,0-1yr
0278-YXOOG,California,Inglewood,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,22.77,0-1yr
4598-XLKNJ,California,Inglewood,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,100.58,2-3yr
3192-NQECA,California,Santa Monica,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,111.93897058823529,5-6yr
0486-HECZI,California,Torrance,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,95.25272727272727,4-5yr
4846-WHAFZ,California,Whittier,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,77.51756756756757,3-4yr
5299-RULOA,California,Whittier,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,106.465,0-1yr
0404-SWRVG,California,La Habra,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,76.51666666666667,0-1yr
4412-YLTKF,California,Pico Rivera,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,79.0925925925926,2-3yr
6207-WIOLX,California,Avalon,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,60.106,2-3yr
3091-FYHKI,California,Harbor City,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,35.45,0-1yr
2372-HWUHI,California,Lakewood,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,40.625,0-1yr
0390-DCFDQ,California,Los Alamitos,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,70.45,0-1yr
4080-OGPJL,California,San Pedro,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,70.45625,0-1yr
2135-RXIHG,California,Carson,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,45.65,0-1yr
3874-EQOEP,California,Long Beach,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,93.64285714285714,0-1yr
0867-MKZVY,California,Altadena,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,79.61749999999999,1-2yr
3376-BMGFE,California,Monrovia,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287,Product dissatisfaction,68.25,0-1yr
3445-HXXGF,California,Sierra Madre,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,45.710344827586205,4-5yr
1875-QIVME,California,Tujunga,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,121.4,0-1yr
0691-JVSYA,California,Pasadena,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,94.3433962264151,4-5yr
2656-FMOKZ,California,Pasadena,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,76.38000000000001,1-2yr
2070-FNEXE,California,Pasadena,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,71.94285714285715,0-1yr
6317-YPKDH,California,Glendale,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,29.95,0-1yr
9367-WXLCH,California,Glendale,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,82.83125,0-1yr
1918-ZBFQJ,California,Glendale,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,85.51153846153846,1-2yr
1024-GUALD,California,Glendale,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,24.8,0-1yr
2472-OVKUP,California,Canoga Park,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,94,2283,Service dissatisfaction,88.5,0-1yr
1285-OKIPP,California,Mission Hills,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,79.9,0-1yr
7825-ECJRF,California,Santa Clarita,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,101.81315789473685,1-2yr
7841-TZDMQ,California,Sun Valley,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,42.25,0-1yr
9408-SSNVZ,California,Stevenson Ranch,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,67.0875,0-1yr
0742-MOABM,California,Panorama City,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,44.8375,0-1yr
2232-DMLXU,California,Van Nuys,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,55.2,0-1yr
8937-RDTHP,California,Burbank,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,84.6,0-1yr
1251-KRREG,California,North Hollywood,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,57.05,0-1yr
0094-OIFMO,California,North Hollywood,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,101.84545454545454,0-1yr
9947-OTFQU,California,Covina,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,71.61999999999999,1-2yr
0322-YINQP,California,Covina,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,48.55,0-1yr
4629-NRXKX,California,El Monte,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,73.575,0-1yr
9514-JDSKI,California,El Monte,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,40.2,0-1yr
4959-JOSRX,California,La Puente,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,40.275,0-1yr
7273-TEFQD,California,La Puente,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,44.06666666666666,0-1yr
3606-TWKGI,California,Rowland Heights,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,104.94615384615385,1-2yr
6323-AYBRX,California,Ontario,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,18.63728813559322,4-5yr
4385-GZQXV,California,Ontario,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,94.45,1-2yr
6366-ZGQGL,California,Pomona,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,24.8,0-1yr
5940-AHUHD,California,Pomona,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,70.6,0-1yr
6432-TWQLB,California,Rosemead,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability,80.22,0-1yr
4484-GLZOU,California,San Dimas,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,65,4839,Don't know,108.17019230769232,4-5yr
9512-UIBFX,California,West Covina,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,68,4643,Don't know,98.88611111111112,1-2yr
5583-SXDAG,California,Alhambra,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,97,4094,Don't know,70.0,0-1yr
3488-PGMQJ,California,Alpine,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,80,4345,Poor expertise of online support,75.81875,0-1yr
3580-REOAC,California,Bonita,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,83,4061,Poor expertise of phone support,43.54,0-1yr
7534-BFESC,California,Boulevard,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,98,2018,Price too high,71.3625,1-2yr
6390-DSAZX,California,Guatay,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,80,2565,Product dissatisfaction,73.6,0-1yr
8098-LLAZX,California,Jacumba,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,99.025,0-1yr
0265-EDXBD,California,Mount Laguna,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website,71.9796875,2-3yr
7563-BIUPC,California,Borrego Springs,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,69,5715,Network reliability,83.11,0-1yr
2321-OMBXY,California,Carlsbad,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,81,2071,Limited range of services,80.49078947368422,3-4yr
2840-XANRC,California,Del Mar,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,73,2212,Lack of affordable download/upload speed,92.96041666666667,1-2yr
5020-ZSTTY,California,El Cajon,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,1,83,4149,Long distance charges,80.55740740740741,4-5yr
5804-LEPIM,California,Escondido,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,1,73,2671,Extra data charges,69.525,0-1yr
0122-OAHPZ,California,Oceanside,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,67,2473,Price too high,73.03571428571429,0-1yr
2868-SNELZ,California,Pala,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,1,92,2683,Product dissatisfaction,77.9,0-1yr
4322-RCYMT,California,Palomar Mountain,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,1,81,4903,Service dissatisfaction,77.85220588235293,5-6yr
6680-NENYN,California,Pauma Valley,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,1,91,5250,Lack of self-service on Website,110.69418604651163,3-4yr
1343-EHPYB,California,Ranchita,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,98,4352,Network reliability,104.80952380952381,5-6yr
2034-GDRCN,California,Valley Center,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,76,4157,Don't know,84.1,0-1yr
0219-YTZUE,California,San Diego,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,73,4939,Don't know,92.975,0-1yr
0623-IIHUG,California,San Diego,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,1,97,4778,Don't know,40.00476190476191,1-2yr
4572-DVCGN,California,San Diego,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,1,85,3598,Poor expertise of online support,84.6,0-1yr
9057-MSWCO,California,San Diego,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,1,91,2927,Poor expertise of phone support,29.81851851851852,2-3yr
1010-DIAUQ,California,San Diego,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,98,5383,Price too high,98.51,0-1yr
0259-GBZSH,California,San Diego,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,73,3878,Product dissatisfaction,90.75,0-1yr
9601-BRXPO,California,San Diego,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,66,3642,Service dissatisfaction,102.66,2-3yr
6905-NIQIN,California,San Diego,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,1,76,2431,Don't know,50.65,0-1yr
5167-ZFFMM,California,Indio,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,81,3424,Network reliability,90.85,0-1yr
4895-TMWIR,California,Indian Wells,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,1,80,5888,Limited range of services,19.522727272727273,0-1yr
0533-BNWKF,California,Palm Desert,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,1,100,5502,Lack of affordable download/upload speed,88.63090909090909,4-5yr
6599-CEBNN,California,Desert Hot Springs,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,1,94,5795,Long distance charges,74.24852941176471,2-3yr
0979-PHULV,California,Holtville,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes,1,80,4020,Extra data charges,101.55942028985508,5-6yr
4800-VHZKI,California,Niland,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,1,92,3351,Price too high,19.9,0-1yr
7989-CHGTL,California,North Palm Springs,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes,1,95,3448,Product dissatisfaction,19.6,0-1yr
0334-GDDSO,California,Ocotillo,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes,1,73,2818,Service dissatisfaction,77.89999999999999,0-1yr
0578-SKVMF,California,Seeley,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,Yes,1,88,3804,Lack of self-service on Website,83.90454545454546,1-2yr
5564-NEMQO,California,Thermal,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes,1,67,4902,Network reliability,75.3,0-1yr
9063-ZGTUY,California,Adelanto,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,Yes,1,82,4221,Don't know,19.38606557377049,5-6yr
2957-LOLHO,California,Apple Valley,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes,1,68,2887,Don't know,43.24166666666667,0-1yr
7752-XUSCI,California,Crestline,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Yes,1,84,4105,Don't know,106.6075,4-5yr
4110-PFEUZ,California,Daggett,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes,1,73,2792,Competitor had better devices,69.55,0-1yr
0256-LTHVJ,California,Ludlow,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes,1,98,5201,Competitor had better devices,79.53928571428571,2-3yr
0880-TKATG,California,Lucerne Valley,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes,1,84,4417,Competitor had better devices,96.475,0-1yr
3811-VBYBZ,California,Lytle Creek,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes,1,98,2031,Competitor had better devices,96.17857142857143,0-1yr
4640-UHDOS,California,Phelan,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,Yes,1,91,4498,Competitor had better devices,56.48846153846154,1-2yr
3583-EKAPL,California,Redlands,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,Yes,1,71,4877,Competitor had better devices,55.0,0-1yr
